nom_du_joueur;IDjoueur;nom_du_jeu;action_de_jeu;mise;difficulty;score;gagnant
Melissa;vtr2jxgs3;Logique2;26;3;0.7000000000000001;60;1
Melissa;vtr2jxgs3;Logique2;27;7;0.8;67;1
Melissa;vtr2jxgs3;Logique2;28;1;0.9;66;0
Melissa;vtr2jxgs3;Logique2;29;7;0.8;73;1
Melissa;vtr2jxgs3;Logique2;30;1;0.9;72;0
Melissa;vtr2jxgs3;Motrice;1;3;4.034264097200273;-3;0
Melissa;vtr2jxgs3;Motrice;2;3;3.1634973615297346;0;1
Melissa;vtr2jxgs3;Motrice;3;3;4.034264097200273;3;1
Melissa;vtr2jxgs3;Motrice;4;4;4.7534692783297245;7;1
Melissa;vtr2jxgs3;Motrice;5;5;5.381755349031991;12;1
Melissa;vtr2jxgs3;Motrice;6;6;5.95240197898444;6;0
Melissa;vtr2jxgs3;Motrice;7;6;5.381755349031991;0;0
Melissa;vtr2jxgs3;Motrice;8;5;4.7534692783297245;-5;0
Melissa;vtr2jxgs3;Motrice;9;4;4.034264097200273;-1;1
Melissa;vtr2jxgs3;Motrice;10;4;4.7534692783297245;3;1
Melissa;vtr2jxgs3;Motrice;11;5;5.381755349031991;8;1
Melissa;vtr2jxgs3;Motrice;12;7;5.95240197898444;1;0
Melissa;vtr2jxgs3;Motrice;13;4;5.381755349031991;-3;0
Melissa;vtr2jxgs3;Motrice;14;4;4.7534692783297245;1;1
Melissa;vtr2jxgs3;Motrice;15;4;5.381755349031991;5;1
Melissa;vtr2jxgs3;Motrice;16;4;5.95240197898444;1;0
Melissa;vtr2jxgs3;Motrice;17;4;5.381755349031991;-3;0
Melissa;vtr2jxgs3;Motrice;18;4;4.7534692783297245;1;1
Melissa;vtr2jxgs3;Motrice;19;4;5.381755349031991;-3;0
Melissa;vtr2jxgs3;Motrice;20;4;4.7534692783297245;1;1
Melissa;vtr2jxgs3;Motrice;21;4;5.381755349031991;5;1
Melissa;vtr2jxgs3;Motrice;22;4;5.95240197898444;9;1
Melissa;vtr2jxgs3;Motrice;23;4;6.486337229729588;13;1
Melissa;vtr2jxgs3;Motrice;24;4;6.998323261344622;17;1
